"example_id","query_id","query","product_id","product_title","esci_label","image_path"
1816361,92757,"shoes no laces men","B003UHUO60","New Balance Men's 577 V1 Hook and Loop Walking Shoe, Black, 8.5 W US","E","data/esci1500_thumbs/img/B003UHUO60.jpg"
1895887,96955,"spongebob halloween costume","B00E67AHL0","Rubie's Adult Sponge Out of Water Costume Spongebob Deluxe","E","data/esci1500_thumbs/img/B00E67AHL0.jpg"
1822491,93088,"sibley field guide to birds of western north america","0679451218","The Sibley Field Guide to Birds of Western North America","E","data/esci1500_thumbs/img/0679451218.jpg"
1880448,96123,"sony hdr-cx675 stand","B00C9FJLNQ","Sony VCT-VPR1 Compact Remote Control Tripod","E","data/esci1500_thumbs/img/B00C9FJLNQ.jpg"
1895616,96940,"sponge bob games controller","B00014BWQ6","Jakks SpongeBob SquarePants TV Game","E","data/esci1500_thumbs/img/B00014BWQ6.jpg"
1959723,100299,"tach adapter","B00063068W","AUTO METER 9117 Tachometer Adapter, Black","E","data/esci1500_thumbs/img/B00063068W.jpg"
2113545,108260,"verizon samsung galaxy tab fast charger","B081GYSPVM","USB C Wall Charger,25W Super Fast Charger Block and 5FT Type C Charger Cable Fast Charging for Samsung Galaxy S21/S21+/S21 Ultra/S20/S20+/S20 Ultra/S10/Note 20/Note 20 Ultra/Note 10/10 Plus/Z Fold 3","E","data/esci1500_thumbs/img/B081GYSPVM.jpg"
1724727,87933,"roadtripper","B0742D79TX","Bracketron Universal RoadTripper Mount & Charge Set (BT2-927-2)","E","data/esci1500_thumbs/img/B0742D79TX.jpg"
1869395,95570,"soccer balls size 5","B07VD4SK1R","adidas Starlancer V Club Soccer Ball Shock Pink/White 5","E","data/esci1500_thumbs/img/B07VD4SK1R.jpg"
1861395,95159,"smikless grill","B07T9GLNWH","T-fal TG403D52 Compact Smokeless Indoor Sear Capability, Electric Grill, 4 Servings, Black","E","data/esci1500_thumbs/img/B07T9GLNWH.jpg"
1788828,91343,"sealy posturepedic comforter","B071S7ZLX9","Sealy Response Performance 14-Inch Cushion Firm Pillow Top Mattress, Queen,White","E","data/esci1500_thumbs/img/B071S7ZLX9.jpg"
1740762,88765,"round rugs 9ft teal","B078HJFKHM","SAFAVIEH Madison Collection MAD600C Boho Chic Glam Paisley Non-Shedding Dining Room Entryway Foyer Living Room Bedroom Area Rug, 9' x 9' Round, Cream / Light Grey","E","data/esci1500_thumbs/img/B078HJFKHM.jpg"
1963784,100505,"tall modern desk","B073214G9J","Monarch Specialties Computer 70""L Desk Left or Right Facing - White / Cement-Look","E","data/esci1500_thumbs/img/B073214G9J.jpg"
1929332,98776,"styrofoam cups 12 oz","B004NG89SC","DART 12J12 12 oz Foam Cup (Case of 1000)","E","data/esci1500_thumbs/img/B004NG89SC.jpg"
1699305,86638,"reef phantom flip flops men","B08BFYD811","Reef Men's Cushion Dawn Sandals, Bronze, 10","E","data/esci1500_thumbs/img/B08BFYD811.jpg"
2206906,113234,"womens shirt dress","B0792MMGV8","Daily Ritual Women's Jersey Standard-Fit Short-Sleeve V-Neck T-Shirt Dress, Navy, Small","E","data/esci1500_thumbs/img/B0792MMGV8.jpg"
1958026,100219,"tablesaw motor","B006P1MATM","A.O. Smith GF2034 Century Resilient Base Split Phase Electric Motor, 115 Vac, 6.8 A, 1/3 Hp, 1725 RPM","E","data/esci1500_thumbs/img/B006P1MATM.jpg"
1738894,88661,"rosette iron","B0019CVOY4","Kitchen Supply Rosette Iron, Rabbit","E","data/esci1500_thumbs/img/B0019CVOY4.jpg"
1889283,96595,"speck case moto z2 play","B073X6W1RG","Speck Products Presidio Grip Cell Phone Case for MOTOROLA Moto Z2 Play - Marine Blue/Twilight Blue","E","data/esci1500_thumbs/img/B073X6W1RG.jpg"
1905578,97461,"stainless steel water bottles","B00D1DD6OA","Why Use BPA Free Stainless Steel Water Bottles","E","data/esci1500_thumbs/img/B00D1DD6OA.jpg"
1773652,90533,"sanuk sandals","B00OGU4YBG","Sanuk Beer Cozy 2 Charcoal 11","E","data/esci1500_thumbs/img/B00OGU4YBG.jpg"
1935863,99094,"summer infant time to go travel potty","B081NW9YF3","Kalencom Potette Plus 2-in-1 Travel Potty Trainer Seat Pastel Mint","E","data/esci1500_thumbs/img/B081NW9YF3.jpg"
1824179,93178,"sigma mc-11","B01CCL26GK","Sigma Mount Converter MC-11 for Sigma Mounts to Sony E Cameras","E","data/esci1500_thumbs/img/B01CCL26GK.jpg"
1774271,90562,"sara fields kindle books","B08QDSXC43","Primal (Alpha Brotherhood Book 2)","E","data/esci1500_thumbs/img/B08QDSXC43.jpg"
2194299,112552,"women leather boots","B07B1NL8LW","Lucky Brand Women's BASELH2O, Black, 10 Medium US","E","data/esci1500_thumbs/img/B07B1NL8LW.jpg"
1788736,91340,"sealy 13 inch queen mattress","B085T1H52R","Sealy Posturepedic Plus Mattress with Surface-Guard, Tight Top 13-Inch Medium, Queen, Grey","E","data/esci1500_thumbs/img/B085T1H52R.jpg"
1690495,86170,"reclining sofa with drop down table","B06W5SBN17","Beverly Fine Funiture Bonded Leather Drop Down Table, 5, 1 Black, 3 Piece Recliner Set, Sofa, Loveseat and Chair","E","data/esci1500_thumbs/img/B06W5SBN17.jpg"
1797261,91785,"sequin flip ty whimsy blue cat stuffed animals","B07N1FJ38Y","Ty Whimsy Blue Cat Flippable - Reg,Multicolored","E","data/esci1500_thumbs/img/B07N1FJ38Y.jpg"
1744701,88967,"rubber tumbler bottom","B07D4B439X","Simple Modern Boot for Summit and Ascent Bottles - Fits 32oz & 40oz Water Bottles, Fits - Protective Anti-Slip Bottom Bumper Silicone Sleeve, Great for Kids - -Midnight Black (Medium)","E","data/esci1500_thumbs/img/B07D4B439X.jpg"
