"example_id","query_id","query","product_id","product_title","esci_label","sim_orig"
353787,16932,"black woven storage basket","B08D73WPCZ","Joyeen Small Plastic Weave Baskets, Storage Bins, 6 Pack","E",0.2967210114002228
117382,4818,"5xl carhartt shirts for men big and tall","B07KBQQ43F","Carhartt Men's Rugged Flex Rigby Short Sleeve Work Shirt, Gravel, X-Large","E",0.32139039039611816
1391488,70694,"morral táctico 5.11","B004D1UPIY","5.11 RUSH MOAB 6 Tactical Sling Pack Military Molle Backpack Bag, Style 56963, Black","E",0.2684248983860016
387586,18639,"bose earbuds","B08CJCTG6Z","Bose Sport Earbuds - Wireless Earphones - Bluetooth In Ear Headphones for Workouts and Running, Triple Black","E",0.3216340243816376
1902867,97309,"ssd hard drive internal","B072R78B6Q","SanDisk Ultra 3D SSD de 500 GB con hasta 560 MB/s de velocidad de lectura / hasta 530 MB/s de velocidad de escritura","E",0.31203609704971313
1567443,79800,"picture hangers without nails heavy duty","B073XR4X72","Command Large Picture Hanging Strips, White, Holds up to 16 lbs, 14-Pairs, Easy to Open Packaging","E",0.25840359926223755
1902862,97309,"ssd hard drive internal","B07NNRTTCM","Western Digital 1TB WD Green Internal PC SSD Solid State Drive - SATA III 6 Gb/s, 2.5""/7mm, Up to 550 MB/s - WDS100T2G0A","E",0.31404703855514526
136908,5747,"Pockets on both sides. Brown leather. Extra large. ","B07H7S6QBR","Kenneth Cole Reaction Manhattan Commuter Slim Backpack 16"" Laptop Computer & Tablet Travel, Business, Work, School Bookbag, Cognac, Colombian Leather","E",0.27510982751846313
1768723,90261,"samsung s10+ case","B07N9GDT4H","OTTERBOX DEFENDER SERIES SCREENLESS EDITION Case for Galaxy S10+ - BLACK","E",0.2984868586063385
1395518,70905,"motor tool dewalt","B06WW85XHR","DEWALT Angle Grinder Tool, 4-1/2-Inch to 6-Inch, Trigger Switch (DWE43116)","E",0.3433830440044403
100419,4027,"4 1/2 angle grinder","B00Z5LTO7O","Makita GA4542C SJSII High Power Angle Grinder, 4-1/2""","E",0.2859731614589691
216452,9869,"apple watch chargee","B07ZNT29ZF","Powlaken Watch Charger, Magnetic Charging Cable Cord Compatible with Apple Watch Series Se, 6, 5, 4, 3, 2, 1","E",0.1923510730266571
286138,13429,"basketball","B01C5A2WJO","Little Tikes Easy Score Basketball Set, Blue, 3 Balls - Amazon Exclusive","E",0.2945023477077484
94294,3764,"36 inch shower curtain rod","B000ASIK9U","Zenna Home Tension Stall Shower Rod, 27""-40"", White","E",0.26593121886253357
1685607,85921,"reading cushion","B0117SNG0O","Linenspa Shredded Foam Pillow Perfect for Back Support While Relaxing, Gaming, Reading, or Watching TV - Soft Velour Cover, Standard, Stone","E",0.3011220693588257
182942,8122,"all superhero lego sets","B078C9LXCM","LEGO Marvel Super Heroes Avengers: Infinity War Thanos: Ultimate Battle 76107 Guardians of the Galaxy Starship Action Construction Toy (674 Pieces) (Discontinued by Manufacturer)","E",0.3043678402900696
1425318,72406,"nature made multivitamin without iron","B004M7PJBW","Nature Made Maximin Pack, 30 Day Supply","E",0.31062185764312744
653281,32430,"depends night defense large for women","B008RJV1JK","Depend FIT-FLEX Incontinence Underwear for Women, Disposable, Maximum Absorbency, Large, Blush, 52 Count (2 Packs of 26) (Packaging May Vary)","E",0.32723623514175415
1380051,70106,"modern ceiling fan without light","B002K8DBOC","kathy ireland HOME Loft 60 Inch Ceiling Fan | Indoor/Outdoor Fixture with 3 Weather Resistant Blades | Modern Industrial Design with 4-Speed Motor and Wall Control, Barbeque Black","E",0.31687018275260925
364152,17466,"blue shampoo aveda","B0016JDLO6","AVEDA by Aveda: Blue Malva Color Shampoo 33.8 OZ","E",0.3025398850440979
71031,2718,"2 yr old boy toys","B004UU9ZB6","Fisher-Price Harley-Davidson Tough Trike [Amazon Exclusive] , Black","E",0.27571508288383484
2213387,113561,"wood slat bed frame","B074Q4Z46S","ZINUS Trisha Metal Platforma Bed Frame / Wood Slat Support / No Box Spring Needed / Easy Assembly, Twin","E",0.2868848741054535
231455,10636,"ashley longshore","0847866467","Ashley Longshore: I Do Not Cook, I Do Not Clean, I Do Not Fly Commercial","E",0.2937721312046051
849367,42495,"free time unlimited","B078HQBS21","Fire HD 8 Kids Edition Tablet, 8"" HD Display, 32 GB, Blue Kid-Proof Case (Previous Generation - 8th)","E",0.2221325933933258
622744,30858,"curtain tie backs without hooks","B01MSUTJIV","Amazon Basics Decorative Curtain Drapery Holdback, Set of 2, Dark Bronze (Espresso)","E",0.23529410362243652
25748,907,"1 wheel skates without breaks","B08RYXKNCP","JAJAHOHO Roller Skates for Girls, Adjustable Convertible 2-in-1 Skates, Junior Size 6 7 8 9, Tri-Wheels to Inline Skates 3 Wheels, Roller Blades for Kids Boys Toddler Outdoor (Blue, Junior Size 6-9)","E",0.30447909235954285
2043107,104637,"toys for 8 year old boy educations","B07T1NZD27","Sillbird STEM 12-in-1 Education Solar Robot Toys -190 Pieces DIY Building Science Experiment Kit for Kids Aged 8-10 and Older,Solar Powered by The Sun","E",0.2692405581474304
317924,15085,"best friends girl","B001L9EXSY","My Best Friend's Girl [Blu-ray]","E",0.2543187439441681
1284148,65108,"makeup","B00B4YVU4G","NYX PROFESSIONAL MAKEUP Makeup Setting Spray, Matte Finish , 2.03 Fl Oz (Pack of 1)","E",0.22258172929286957
1269888,64398,"lysa terkeurst books it wasnt","0310094348","It's Not Supposed to Be This Way Study Guide: Finding Unexpected Strength When Disappointments Leave You Shattered","E",0.32754960656166077
